gene_id,cluster
A4GALT,1
AACS,2
AADAT,3
AAK1,3
AARS1,4
AASDHPPT,3
AASS,5
AATF,2
ABAT,6
ABCA1,4
ABCA5,2
ABCB6,3
ABCC1,1
ABCC4,2
ABCC5,7
ABCC6,2
ABCC8,6
ABCD3,3
ABCF1,8
ABCF2,7
ABCF3,8
ABCG1,6
ABHD10,3
ABHD11,8
ABHD17B,5
ABHD17C,9
ABHD3,3
ABHD4,1
ABHD5,3
ABHD6,10
ABI1,9
ABL1,8
ABLIM1,5
ABLIM2,6
ABRAXAS1,4
ABTB1,9
ABTB3,9
ACAA1,2
ACAA2,4
ACAD8,1
ACAD9,2
ACADM,3
ACADS,3
ACADVL,8
ACBD4,4
ACBD5,3
ACCS,1
ACIN1,8
ACKR3,9
ACO1,6
ACOT13,3
ACOT2,1
ACOT8,3
ACOT9,5
ACOX1,3
ACOX3,6
ACOXL,4
ACP6,1
ACSF2,6
ACSL1,6
ACSS1,3
ACSS2,3
ACTA1,1
ACTB,7
ACTL6B,6
ACTN1,8
ACTN3,1
ACTR3,9
ACVR1,5
ACVR1B,1
ACVR2A,9
ACVR2B-AS1,1
ACY1,1
ACYP1,3
ACYP2,3
ADA,1
ADA2,4
ADAM11,8
ADAM12,1
ADAM19,8
ADAM23,1
ADAM33,1
ADAM9,9
ADAMTS1,3
ADAMTS12,9
ADAMTS15,3
ADAMTS16-DT,7
ADAMTS19,1
ADAMTS20,4
ADAMTS3,9
ADAMTS4,5
ADAMTS6,9
ADAMTS8,3
ADAMTS9,7
ADARB1,7
ADARB2,6
ADCY1,8
ADCY10P1,9
ADCY2,2
ADCY3,8
ADCY5,3
ADCY6,7
ADCYAP1R1,3
ADD2,1
ADD3,5
ADGRA1,6
ADGRB2,2
ADGRB3,3
ADGRG1,3
ADGRG2,4
ADGRL1,8
ADGRL2,10
ADGRL3,7
ADHFE1,8
ADI1,8
ADIPOR1,1
ADIPOR2,2
ADK,3
ADM2,1
ADNP2,5
ADPGK,8
ADPRH,1
ADPRM,3
ADRA2B,1
ADSS2,5
AFAP1,6
AFAP1L2,10
AFF1,8
AFF2,3
AFF3,6
AFG1L,3
AFG2B,8
AFG3L2,4
AFMID,1
AFTPH,3
AGAP2,6
AGBL2,1
AGBL5,7
AGPAT3,6
AGPAT4,2
AHCY,1
AHCYL2,3
AHI1,9
