ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048714,positive regulation of oligodendrocyte differentiation,9/473,28/18986,0.32142857142857145,12.901993355481729,10.073953229502738,1.5538199048377506e-8,3.316628586876179e-5,3.0078682157859197e-5,CXCR4/HDAC1/MYRF/NKX2-2/NKX6-1/NKX6-2/QKI/RHEB/TNFRSF1B,9
GO:0031016,pancreas development,12/473,79/18986,0.1518987341772152,6.097144539299382,7.256490868727536,5.610776175123496e-7,5.510330490030628e-4,4.997348212285054e-4,CDK6/FGF10/FOXA2/ILDR2/NEUROD1/NKX2-2/NKX6-1/NKX6-2/PROX1/RHEB/TCF7L2/ZNF800,12
GO:1990778,protein localization to cell periphery,24/473,362/18986,0.06629834254143646,2.661184633174868,5.100739912180584,1.4558775837350246e-5,0.006164992364678468,0.005591064570104525,ARL13B/ATP1B3/CIB1/EPB41L2/ERBB4/FCHO2/GPSM2/LYPD1/MRAP2/NETO1/P2RY1/PGRMC1/PIAS1/PRKCE/PRNP/PTCH1/PTPN9/RAB13/RAB34/SNCA/TRAF6/TSPAN5/VAMP3/ZDHHC23,24
GO:0051960,regulation of nervous system development,27/473,463/18986,0.058315334773218146,2.340750414385454,4.668530952607655,4.216483149016329e-5,0.012857261830821934,0.011660319565475231,BMP7/CTNNA1/CXCR4/DUSP10/ELAPOR2/EPHB1/FLRT3/HDAC1/HEY1/LRP8/MYRF/NKX2-2/NKX6-1/NKX6-2/NTN1/NTRK2/PROX1/QKI/RHEB/RNF6/SHTN1/SKIL/SPP1/SYT4/TMEM98/TNFRSF1B/WNT7A,27
GO:1904036,negative regulation of epithelial cell apoptotic process,6/473,29/18986,0.20689655172413793,8.304731355252606,6.292394069134807,6.758733911983562e-5,0.017938868340518093,0.01626885570549631,BCL2/CAST/NEUROD1/PPARA/TCF7L2/TMF1,6
GO:0048638,regulation of developmental growth,21/473,325/18986,0.06461538461538462,2.5936314847942756,4.631904493263956,7.163365899703534e-5,0.017938868340518093,0.01626885570549631,BCL2/CDK1/CXCR4/DUSP10/ERBB4/FGFR3/GLI1/HOPX/MFSD2A/NKX6-1/NTN1/POU3F2/PPARA/PROX1/PTCH1/RNF6/SHTN1/SPAG9/SPP1/SYT4/TLL2,21
GO:0009953,dorsal/ventral pattern formation,10/473,90/18986,0.1111111111111111,4.459948320413437,5.259002740387118,8.068078091335546e-5,0.01812769756416392,0.016440105939020577,ARL13B/DDIT3/GLI1/GREM2/HHIP/NKX2-2/PTCH1/RNF220/TLL2/WNT7A,10
GO:0043010,camera-type eye development,22/473,362/18986,0.06077348066298342,2.439419247076963,4.4197996160692306,1.1889749744504431e-4,0.024004028210247035,0.02176938165163507,AHI1/BAX/BMP7/CRYBA1/CRYBG3/DRAM2/EPHB1/FGF10/HDAC1/MAB21L1/MFSD2A/NEUROD1/NEUROD4/NTRK2/PROX1/RAB11FIP4/SKIL/TDRD7/TWSG1/VIM/WNT7A/ZHX2,22
GO:1904377,positive regulation of protein localization to cell periphery,9/473,77/18986,0.11688311688311688,4.6916339474479,5.188325125007971,1.2314231287208782e-4,0.024004028210247035,0.02176938165163507,CIB1/EPB41L2/GPSM2/PGRMC1/PIAS1/PRKCE/PRNP/PTPN9/SNCA,9
GO:0051090,regulation of DNA-binding transcription factor activity,22/473,363/18986,0.06060606060606061,2.4326990838618747,4.405355338507564,1.2370312031516394e-4,0.024004028210247035,0.02176938165163507,ARID5B/BMP7/CARD8/CIB1/DDIT3/EGLN1/EOMES/FOXA2/NEUROD1/NHLH2/NKX6-1/NTS/PRNP/PROX1/PTCH1/RIPK2/RNF220/TCF7L2/TRAF6/TRIM21/TRIM25/ZNF675,22
GO:0001934,positive regulation of protein phosphorylation,25/473,455/18986,0.054945054945054944,2.205468949654996,4.160157463882545,2.038605401516749e-4,0.0348112258363,0.03157048701801517,ABI1/ACVR2A/ADAM9/CALM1/CCND2/CHRNA3/CIB1/ERBB4/FGF10/FGF19/FGFR3/IQGAP1/LEPR/NTRK2/P2RY1/PLAUR/PRKAG2/PRNP/PROX1/RASSF2/RIPK2/SNCA/STRADA/TCIM/TRAF6,25
GO:0042761,very long-chain fatty acid biosynthetic process,4/473,13/18986,0.3076923076923077,12.350626118067979,6.543663555930204,2.2743258160463003e-4,0.037342680418083286,0.03386627672638985,ELOVL1/ELOVL5/ELOVL6/HACD4,4
